number	title	date
1	1992年8月21日	君がいた夏
2	1992年12月1日	抱きしめたい
3	1993年7月1日	Replay
4	1993年11月10日	CROSS ROAD
5	1994年6月1日	innocent world
6	1994年11月10日	Tomorrow never knows
7	1994年12月12日	everybody goes-秩序のない現代にドロップキック-
8	1995年5月10日	【es】 〜Theme of es〜
9	1995年8月10日	シーソーゲーム 〜勇敢な恋の歌〜
10	1996年2月5日	名もなき詩
11	1996年4月10日	花 -Mémento-Mori-
12	1996年8月8日	マシンガンをぶっ放せ-Mr.Children Bootleg-
13	1997年2月5日	Everything (It's you)
14	1998年2月11日	ニシエヒガシエ
15	1998年10月21日	終わりなき旅
16	1999年1月13日	光の射す方へ
17	1999年5月12日	I'LL BE
18	2000年1月13日	口笛
19	2000年8月9日	NOT FOUND
20	2001年8月22日	優しい歌
21	2001年11月7日	youthful days
22	2002年1月1日	君が好き
23	2002年7月10日	Any
24	2002年12月11日	HERO
25	2003年11月19日	掌/くるみ
26	2004年5月26日	Sign
27	2005年6月29日	四次元 Four Dimensions
28	2006年7月5日	箒星
29	2006年11月15日	しるし
30	2007年1月24日	フェイク
31	2007年10月31日	旅立ちの唄
32	2008年7月30日	GIFT
33	2008年9月3日	HANABI
34	2012年4月18日	祈り 〜涙の軌道/End of the day/pieces
35	2014年11月19日	足音 〜Be Strong
36	2017年1月11日	ヒカリノアトリエ
37	2017年7月26日	himawari
38	2020年3月4日	Birthday/君と重ねたモノローグ
